num ; coinc ; date ; time ; sec ; RecTime ; A ; B ; C ; COINC ; Pressure ; Temp ; Humidity ; Altitude 
1; ABC; 31/3/2022; 3:58:32; 0; 600; 0; 0; 0; 0; 0.00; 0.00; 0.00; 44330.00
2; ABC; 31/3/2022; 4:8:41; 600; 600; 6017; 150868; 5591; 549; 0.00; 0.00; 0.00; 44330.00
3; ABC; 31/3/2022; 4:18:41; 1200; 600; 6149; 146935; 4676; 512; 0.00; 0.00; 0.00; 44330.00
4; ABC; 31/3/2022; 4:28:42; 1801; 600; 5953; 138348; 4282; 482; 0.00; 0.00; 0.00; 44330.00
5; ABC; 31/3/2022; 4:38:42; 2401; 600; 5826; 118732; 3503; 439; 0.00; 0.00; 0.00; 44330.00
6; ABC; 31/3/2022; 4:48:43; 3002; 600; 5730; 105340; 3322; 422; 0.00; 0.00; 0.00; 44330.00
7; ABC; 31/3/2022; 4:58:43; 3602; 600; 5757; 107316; 3356; 416; 0.00; 0.00; 0.00; 44330.00
8; ABC; 31/3/2022; 5:8:44; 4203; 600; 5672; 101809; 3293; 426; 0.00; 0.00; 0.00; 44330.00
9; ABC; 31/3/2022; 5:18:44; 4803; 600; 5580; 98497; 3149; 419; 0.00; 0.00; 0.00; 44330.00
10; ABC; 31/3/2022; 5:28:44; 5403; 600; 5611; 98570; 3281; 420; 0.00; 0.00; 0.00; 44330.00
11; ABC; 31/3/2022; 5:38:45; 6003; 600; 5599; 98417; 3315; 439; 0.00; 0.00; 0.00; 44330.00
12; ABC; 31/3/2022; 5:48:45; 6604; 600; 5538; 99163; 3473; 423; 0.00; 0.00; 0.00; 44330.00
13; ABC; 31/3/2022; 5:58:45; 7204; 600; 5684; 104149; 3494; 443; 0.00; 0.00; 0.00; 44330.00
14; ABC; 31/3/2022; 6:8:45; 7804; 600; 5790; 105659; 3419; 424; 0.00; 0.00; 0.00; 44330.00
15; ABC; 31/3/2022; 6:18:45; 8404; 600; 5708; 115661; 3742; 449; 0.00; 0.00; 0.00; 44330.00
16; ABC; 31/3/2022; 6:28:46; 9004; 600; 5980; 120543; 3670; 461; 0.00; 0.00; 0.00; 44330.00
17; ABC; 31/3/2022; 6:38:45; 9604; 600; 6040; 130466; 4021; 497; 0.00; 0.00; 0.00; 44330.00
18; ABC; 31/3/2022; 6:48:45; 10204; 600; 6141; 140162; 4456; 514; 0.00; 0.00; 0.00; 44330.00
19; ABC; 31/3/2022; 6:58:45; 10804; 600; 6167; 146991; 4715; 563; 0.00; 0.00; 0.00; 44330.00
20; ABC; 31/3/2022; 7:8:46; 11404; 600; 6191; 148966; 4633; 498; 0.00; 0.00; 0.00; 44330.00
21; ABC; 31/3/2022; 7:18:47; 12005; 600; 6202; 141012; 4152; 486; 0.00; 0.00; 0.00; 44330.00
22; ABC; 31/3/2022; 7:28:48; 12606; 600; 6129; 133328; 4138; 497; 0.00; 0.00; 0.00; 44330.00
23; ABC; 31/3/2022; 7:38:48; 13207; 600; 5993; 134120; 4114; 493; 0.00; 0.00; 0.00; 44330.00
24; ABC; 31/3/2022; 7:48:49; 13807; 600; 6305; 141187; 4178; 470; 0.00; 0.00; 0.00; 44330.00
25; ABC; 31/3/2022; 7:58:48; 14407; 600; 6278; 142929; 4184; 513; 0.00; 0.00; 0.00; 44330.00
26; ABC; 31/3/2022; 8:8:49; 15007; 600; 6148; 142523; 4034; 523; 0.00; 0.00; 0.00; 44330.00
